OTUID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Domain,Phylum,Class,Order,Family,Genus,Species
OUT_161,6,10,7,1,8,4,6,3,6,3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_162,2,7,3,6,3,7,5,5,14,2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. BL12
OUT_163,6,5,7,5,4,8,7,1,6,5,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured bacterium
OUT_164,1,3,5,18,0,1,2,10,5,8,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Thermobifida,uncultured compost bacterium
OUT_165,0,7,19,13,4,3,0,5,2,0,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured bacterium
OUT_166,8,2,0,24,2,3,8,4,1,0,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,uncultured bacterium
OUT_167,2,12,11,4,5,3,5,4,0,6,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,agricultural soil bacterium SC-I-16
OUT_168,2,6,5,6,3,5,9,5,6,5,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Arenimonas composti TR7-09 = DSM 18010
OUT_169,5,10,2,9,3,1,2,3,9,8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,uncultured bacterium
OUT_170,6,6,4,3,3,5,15,5,4,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,Cellulosimicrobium cellulans
OUT_171,0,3,39,0,0,5,3,2,0,0,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium shayense
OUT_172,4,1,3,17,7,4,1,7,4,3,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas arboricola
OUT_173,7,2,7,1,4,3,11,6,6,4,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,uncultured bacterium
OUT_174,6,8,4,4,5,4,6,5,6,3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus graminis
OUT_175,6,5,2,5,11,2,7,1,5,6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. BR5-22
OUT_176,4,10,1,4,2,6,11,0,5,7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,uncultured bacterium
OUT_177,5,6,1,4,1,7,11,7,6,1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces niveoruber
OUT_178,2,9,8,5,2,5,9,0,7,2,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria sp. BRI 36
OUT_179,2,5,8,2,3,1,10,0,12,6,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. TUT1004
OUT_180,7,5,3,1,16,6,1,1,5,4,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,uncultured bacterium
OUT_181,4,5,1,7,3,4,5,4,9,6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. 3479BRRJ
OUT_182,4,9,6,5,3,8,5,1,3,4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas changbaiensis
OUT_183,7,6,3,3,5,3,4,2,6,8,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OUT_184,5,9,6,2,3,6,8,1,3,4,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,Flavisolibacter sp. LY43
OUT_185,3,1,3,1,1,8,14,7,5,4,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,uncultured bacterium
OUT_186,4,4,1,14,5,7,7,2,1,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_187,5,10,1,5,8,4,7,2,2,2,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,uncultured bacterium
OUT_188,1,1,1,34,4,0,0,4,1,0,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,uncultured bacterium
OUT_189,11,3,8,1,1,5,5,1,4,7,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,uncultured bacterium
OUT_190,10,3,2,8,6,2,0,3,4,7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,uncultured bacterium
OUT_191,3,8,2,3,0,15,6,3,2,2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. m2-39
OUT_192,6,0,0,16,8,1,0,11,1,1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,uncultured bacterium
OUT_193,2,7,5,1,1,5,6,1,10,6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonadaceae bacterium
OUT_194,3,2,0,5,8,5,11,7,0,3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,uncultured bacterium
OUT_195,0,5,4,1,3,8,8,3,6,6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_196,0,2,4,5,2,2,2,6,14,7,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,Planococcus sp. B13(2012)
OUT_197,4,5,2,5,2,3,2,5,9,6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,uncultured beta proteobacterium
OUT_198,3,4,2,11,2,3,4,7,3,4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,uncultured Phenylobacterium sp.
OUT_199,4,8,2,1,10,7,2,1,3,5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_200,6,4,2,2,2,4,7,6,4,6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,uncultured alpha proteobacterium
OUT_201,6,5,2,5,2,9,2,5,4,3,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus
OUT_202,4,8,1,8,3,2,5,0,6,5,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Bacillus sp. ARI8
OUT_203,1,4,4,2,4,4,10,6,5,2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter dokdonensis DS-58
OUT_204,2,4,4,3,2,3,10,5,3,6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes sp. JA333
OUT_205,2,8,1,6,4,6,11,1,2,1,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides aquiterrae
OUT_206,4,5,2,7,0,1,3,8,8,4,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Microbispora,Microbispora sp. SH05-03
OUT_207,1,0,0,3,0,2,32,1,1,0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,uncultured bacterium
OUT_208,5,7,3,0,5,5,6,6,1,2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,uncultured bacterium
OUT_209,7,5,2,3,3,5,5,0,4,6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,Gracilibacillus sp. DstIII-1
OUT_210,3,5,2,0,0,3,4,5,13,5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_211,0,3,8,0,1,14,7,6,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. FSBRD3
OUT_212,1,10,3,0,2,6,13,3,0,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,Promicromonospora sukumoe
OUT_213,6,2,5,2,3,3,7,3,3,5,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,uncultured bacterium
OUT_214,0,1,6,0,0,0,0,4,11,17,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,Glycomyces sp. Ku11-91
OUT_215,3,3,3,2,6,2,6,2,4,7,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_216,2,7,7,4,4,5,1,4,2,2,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured bacterium
OUT_217,4,11,2,0,7,2,1,4,5,2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_218,3,2,9,1,0,4,6,2,1,10,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured bacterium
OUT_219,2,2,3,4,3,3,4,2,11,4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus sediminis
OUT_220,6,0,2,5,8,6,5,1,2,2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. Cra38
OUT_221,3,1,3,2,9,6,6,0,3,4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_222,2,3,2,2,2,4,3,2,10,7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_223,3,2,2,5,2,5,6,2,7,3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,uncultured bacterium
OUT_224,2,6,6,9,3,2,3,0,4,2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. HME7618
OUT_225,1,5,1,5,1,3,7,7,5,2,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,bacterium JP37
OUT_226,2,4,1,0,2,13,4,0,7,4,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter,Methylobacter sp. 5FB
OUT_227,2,1,0,6,5,4,0,15,1,2,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,Chitinophaga rupis
OUT_228,1,3,0,5,5,6,4,10,1,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sporothermodurans
OUT_229,1,1,6,2,2,5,7,3,5,4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingomonas sp. 86
OUT_230,5,1,5,3,3,1,1,5,10,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured bacterium
OUT_231,4,2,0,8,2,0,3,9,4,3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia psychrotolerans
OUT_232,0,1,3,0,7,9,9,1,3,2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingomonas sp. XB188
OUT_233,5,3,1,5,2,1,3,4,8,3,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus barengoltzii G22
OUT_234,3,4,6,2,7,3,2,1,4,2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured organism
OUT_235,1,8,4,0,0,3,7,3,8,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,uncultured bacterium
OUT_236,3,4,4,2,6,2,7,3,3,0,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,uncultured bacterium
OUT_237,4,1,3,2,4,5,5,5,3,2,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,uncultured bacterium
OUT_238,1,5,7,2,1,6,5,4,3,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Cenchrus americanus
OUT_239,4,4,2,2,2,5,4,5,0,5,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,Blastococcus sp. SU15
OUT_240,5,5,2,7,0,1,5,2,6,0,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,uncultured bacterium
OUT_241,2,3,2,7,6,4,4,0,2,3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_242,0,7,3,0,0,8,14,0,1,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,uncultured bacterium
OUT_243,3,5,7,2,1,5,7,0,1,2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,bacterium DOAN6/4
OUT_244,0,6,20,0,1,1,2,0,2,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. AMF1075
OUT_245,2,3,0,11,0,2,2,4,6,3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. HME7702
OUT_246,4,4,0,8,5,3,1,7,0,0,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured Acidobacteria bacterium
OUT_247,0,2,1,19,3,1,0,3,0,3,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter,uncultured bacterium
OUT_248,1,0,27,2,0,0,0,2,0,0,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,uncultured bacterium
OUT_249,1,0,0,14,1,0,0,8,3,5,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,uncultured gamma proteobacterium
OUT_250,5,1,2,7,3,5,2,1,5,1,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus fusiformis
OUT_251,3,2,2,4,7,4,4,3,2,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. BSi20450
OUT_252,6,3,1,1,4,3,6,1,3,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium tarimense
OUT_253,5,2,1,2,0,2,4,4,1,11,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. CNS-578_SD06
OUT_254,2,6,3,2,1,5,3,3,5,2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas citri
OUT_255,2,0,0,9,4,3,5,6,0,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,uncultured bacterium
OUT_256,4,5,4,1,1,4,3,0,7,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter winogradskyi
OUT_257,1,5,2,0,3,2,9,1,1,7,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. GN-10827
OUT_258,2,6,2,0,4,4,4,1,3,5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,uncultured bacterium
OUT_259,4,2,6,3,0,4,3,5,1,3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium sp. LC297
OUT_260,7,2,4,1,2,1,0,3,6,5,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,uncultured bacterium
OUT_261,1,3,4,2,5,3,2,0,6,5,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,uncultured gamma proteobacterium
OUT_262,1,2,1,1,1,0,0,23,2,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pontibacillus,Pontibacillus sp. TB238
OUT_263,6,4,1,1,4,5,5,0,2,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,uncultured bacterium
OUT_264,2,3,3,0,4,6,1,4,4,3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,uncultured bacterium
OUT_265,3,4,2,11,0,1,5,3,1,0,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium sp. TFS 224
OUT_266,6,2,3,4,4,4,3,0,3,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured Bacillus sp.
OUT_267,4,6,4,0,2,4,2,4,2,2,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas communis
OUT_268,5,2,2,2,3,0,1,3,9,2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_269,2,3,2,4,2,3,4,8,0,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured bacterium
OUT_270,3,3,1,4,2,4,3,2,1,6,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,uncultured bacterium
OUT_271,5,2,3,4,2,2,4,1,4,2,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes missouriensis
OUT_272,1,5,0,2,0,2,5,7,4,3,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,bacterium NR3
OUT_273,0,7,4,2,2,5,5,1,2,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonas sp.
OUT_274,2,4,3,1,5,2,3,3,5,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,uncultured bacterium
OUT_275,2,4,1,2,3,3,3,2,4,5,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus barengoltzii
OUT_276,3,1,2,1,20,2,0,0,0,0,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,bacterium 14C13
OUT_277,4,6,3,0,0,2,7,3,3,1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicoflavus
OUT_278,2,1,0,5,5,3,1,3,5,3,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Phytohabitans,uncultured bacterium
OUT_279,5,2,0,2,6,1,2,0,10,0,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora haikouensis
OUT_280,0,0,4,0,0,1,0,2,11,10,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp. CASMBPK3
OUT_281,4,3,0,3,5,6,3,1,3,0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tusciae JS617
OUT_282,0,5,1,1,1,6,4,5,4,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_283,2,3,3,6,3,0,3,2,5,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus humi
OUT_284,9,1,0,5,2,2,1,5,2,1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sannurensis
OUT_285,4,1,1,9,2,1,0,3,6,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_286,2,2,1,9,4,2,2,4,2,0,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,uncultured compost bacterium
OUT_287,5,1,1,2,11,2,2,1,1,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,uncultured bacterium
OUT_288,0,1,0,0,0,2,25,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. 7188T
OUT_289,0,10,1,2,2,3,2,2,1,4,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured bacterium
OUT_290,2,2,1,4,4,1,3,5,4,1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,uncultured bacterium
OUT_291,1,0,3,3,0,2,1,4,8,5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured bacterium
OUT_292,3,1,1,4,6,2,1,0,3,6,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planomicrobium koreense
OUT_293,0,2,2,10,2,1,2,7,1,0,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Thermobifida,Thermobifida fusca
OUT_294,1,3,4,0,4,4,1,1,6,3,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured bacterium
OUT_295,5,4,1,4,3,6,2,1,0,1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,uncultured gamma proteobacterium
OUT_296,2,0,0,1,2,1,0,2,14,5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oceanobacillus indicireducens
OUT_297,5,3,0,6,0,1,3,4,2,2,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,uncultured bacterium
OUT_298,3,2,2,2,5,4,2,1,1,4,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,uncultured Aquicella sp.
OUT_299,8,2,0,2,1,0,2,2,0,9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. CNJ958 PL04
OUT_300,4,5,0,1,1,4,4,1,3,3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured soil bacterium
OUT_301,3,1,1,9,0,2,3,2,2,3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,uncultured Geobacillus sp.
OUT_302,3,2,0,3,1,2,3,0,7,5,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula,uncultured planctomycete
OUT_303,1,4,1,3,4,1,2,5,4,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured bacterium
OUT_304,3,4,0,2,0,4,4,3,2,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium amorphae
OUT_305,1,5,4,1,4,3,2,1,2,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured bacterium
OUT_306,3,0,1,2,3,3,1,3,4,5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonas sp.
OUT_307,3,1,0,7,1,2,6,3,1,1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured bacterium
OUT_308,7,1,2,2,2,2,2,3,2,2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_309,1,5,0,5,5,2,3,2,1,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,uncultured bacterium
OUT_310,3,7,1,0,4,2,5,2,1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,uncultured bacterium
OUT_311,5,0,0,6,3,1,2,2,1,5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured compost bacterium 5-33
OUT_312,3,3,2,3,3,1,3,1,4,2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured compost bacterium
OUT_313,2,2,1,1,6,2,2,3,2,4,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured bacterium
OUT_314,5,0,2,2,1,1,1,12,1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,uncultured bacterium
OUT_315,2,3,0,10,6,1,0,1,1,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_316,5,2,1,0,0,2,5,5,2,2,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora fulviviridis
OUT_317,2,5,0,1,5,4,4,0,2,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured organism
OUT_318,2,2,1,3,5,2,7,0,0,2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured alpha proteobacterium
OUT_319,3,5,1,4,1,4,3,2,0,1,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. lig17
OUT_320,5,1,1,1,4,1,3,5,2,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,uncultured bacterium
OUT_321,4,1,1,2,4,2,1,5,0,4,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas taiwanensis
OUT_322,1,6,1,1,1,3,5,4,2,0,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces phaeochromogenes
